new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1414,0.1319,0.1347,0.1106,0.1296
14yr,0.1186,0.1401,0.1323,0.1205,0.1279
13yr,0.1309,0.1223,0.1502,0.1196,0.1308
12yr,0.1659,0.1535,0.1698,0.1516,0.1602
11yr,0.2137,0.1996,0.1596,0.1625,0.1839
10yr,0.2119,0.1900,0.1597,0.1841,0.1864
9yr,0.1831,0.1887,0.1575,0.1705,0.1750
8yr,0.2287,0.2266,0.1916,0.2153,0.2155
7yr,0.2063,0.2485,0.1481,0.2416,0.2111
6yr,0.2490,0.2121,0.2129,0.2404,0.2286
5yr,0.2272,0.2420,0.2380,0.2445,0.2379
4yr,0.2267,0.2037,0.2184,0.2230,0.2180
3yr,0.2084,0.1611,0.1738,0.1968,0.1850
2yr,0.1808,0.1725,0.2034,0.2124,0.1923
1yr,0.1948,0.2070,0.2080,0.2032,0.2032
avg,0.1925,0.1866,0.1772,0.1865,0.1857
