old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.0487,0.0529,0.0681,0.0578,0.0569
4+12,0.0744,0.0605,0.0633,0.0717,0.0675
6+10,0.0676,0.0673,0.0636,0.0864,0.0712
8+8,0.0777,0.0900,0.0954,0.1067,0.0924
10+6,0.0752,0.0917,0.0664,0.0994,0.0832
12+4,0.0815,0.0979,0.0705,0.0870,0.0842
14+2,0.1137,0.1132,0.0898,0.0700,0.0967
avg,0.0770,0.0819,0.0739,0.0827,0.0789
