old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.1167,0.1199,0.1286,0.1234,0.1221
2+14,0.1086,0.1096,0.1261,0.1338,0.1195
3+13,0.1053,0.1133,0.1081,0.1103,0.1093
4+12,0.1175,0.1115,0.1176,0.1174,0.1160
5+11,0.1020,0.1235,0.1259,0.1214,0.1182
6+10,0.1294,0.1179,0.1370,0.1373,0.1304
7+9,0.1096,0.1286,0.1186,0.1136,0.1176
8+8,0.0996,0.0988,0.1279,0.1219,0.1120
9+7,0.1115,0.0994,0.1151,0.1208,0.1117
10+6,0.1075,0.1050,0.1214,0.1247,0.1147
11+5,0.1364,0.1004,0.1234,0.1178,0.1195
12+4,0.0987,0.1275,0.1318,0.1308,0.1222
13+3,0.1234,0.1312,0.1313,0.1344,0.1301
14+2,0.1436,0.1267,0.1346,0.1234,0.1321
15+1,0.1371,0.1088,0.1452,0.1432,0.1336
avg,0.1165,0.1148,0.1262,0.1250,0.1206
