old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.8489,0.3552,0.0996,0.1955,0.3748
2yr,0.2875,0.5977,0.1343,0.1421,0.2904
3yr,0.6776,0.6760,0.1351,0.1973,0.4215
4yr,0.3457,0.3307,0.2670,0.1871,0.2826
5yr,0.3657,0.2591,0.1196,0.1521,0.2241
6yr,0.2874,0.2584,0.2507,0.1837,0.2450
7yr,0.2253,0.2475,0.2024,0.2361,0.2278
8yr,0.2624,0.2719,0.2285,0.2104,0.2433
9yr,0.2842,0.2784,0.2669,0.2864,0.2790
10yr,0.2451,0.2682,0.1939,0.2579,0.2413
11yr,0.2763,0.2989,0.1458,0.1899,0.2277
12yr,0.2583,0.1486,0.1873,0.1953,0.1974
13yr,0.1976,0.2210,0.1607,0.1982,0.1944
14yr,0.1961,0.1643,0.0994,0.1451,0.1512
15yr,0.1402,0.2166,0.1327,0.1239,0.1534
avg,0.3265,0.3062,0.1749,0.1934,0.2503
