old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.4564,0.5470,0.7875,0.7317,0.6307
4+12,0.6237,0.5157,0.7456,0.6655,0.6376
6+10,0.4181,0.4669,0.5679,0.5784,0.5078
8+8,0.4704,0.5679,0.7352,0.5784,0.5880
10+6,0.4251,0.5401,0.5784,0.5923,0.5340
12+4,0.4321,0.5575,0.6760,0.6098,0.5688
14+2,0.7108,0.5645,0.6551,0.4390,0.5923
avg,0.5052,0.5371,0.6779,0.5993,0.5799
