old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.5436,0.4530,0.2125,0.2683,0.3693
4+12,0.3763,0.4843,0.2544,0.3345,0.3624
6+10,0.5819,0.5331,0.4321,0.4216,0.4922
8+8,0.5296,0.4321,0.2648,0.4216,0.4120
10+6,0.5749,0.4599,0.4216,0.4077,0.4660
12+4,0.5679,0.4425,0.3240,0.3902,0.4312
14+2,0.2892,0.4355,0.3449,0.5610,0.4077
avg,0.4948,0.4629,0.3221,0.4007,0.4201
