old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.2543,0.1939,0.0696,0.1047,0.1556
4+12,0.1120,0.1801,0.0900,0.1036,0.1214
6+10,0.1922,0.1767,0.1521,0.1067,0.1569
8+8,0.1504,0.1045,0.0601,0.0845,0.0999
10+6,0.1692,0.1090,0.1419,0.0884,0.1271
12+4,0.1531,0.0975,0.1022,0.0980,0.1127
14+2,0.0539,0.0816,0.0836,0.1783,0.0994
avg,0.1550,0.1348,0.0999,0.1092,0.1247
