old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.6367,0.6043,0.4447,0.4901,0.5439
4+12,0.5781,0.6302,0.4811,0.5476,0.5592
6+10,0.6856,0.6625,0.6052,0.6137,0.6418
8+8,0.6708,0.6220,0.4989,0.6213,0.6032
10+6,0.6911,0.6401,0.6015,0.6096,0.6356
12+4,0.6935,0.6319,0.5394,0.5933,0.6145
14+2,0.5231,0.6324,0.5622,0.6789,0.5992
avg,0.6398,0.6319,0.5333,0.5935,0.5996
