old+new_years_retrain_full,none,undersampling,oversampling,hybrid,avg
2+14,0.2383,0.1922,0.1384,0.1206,0.1724
4+12,0.1577,0.1434,0.1518,0.1506,0.1509
6+10,0.1742,0.1396,0.1201,0.1367,0.1427
8+8,0.1666,0.1504,0.1208,0.1221,0.1400
10+6,0.1769,0.2105,0.1257,0.1833,0.1741
12+4,0.1494,0.1331,0.1041,0.0833,0.1175
14+2,0.1768,0.2379,0.1464,0.1341,0.1738
avg,0.1771,0.1725,0.1296,0.1330,0.1530
