old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.6202,0.6028,0.4355,0.5296,0.5470
2+14,0.6307,0.6272,0.3798,0.4843,0.5305
3+13,0.6481,0.6341,0.4878,0.5714,0.5854
4+12,0.6098,0.6132,0.5087,0.5958,0.5819
5+11,0.6690,0.5958,0.5122,0.5784,0.5889
6+10,0.5749,0.6098,0.5331,0.5540,0.5679
7+9,0.6167,0.5889,0.5610,0.5749,0.5854
8+8,0.6585,0.6585,0.5192,0.5889,0.6063
9+7,0.6202,0.6272,0.5749,0.6063,0.6071
10+6,0.6237,0.6516,0.5505,0.6202,0.6115
11+5,0.5958,0.6760,0.6202,0.6585,0.6376
12+4,0.6829,0.6028,0.5610,0.5923,0.6098
13+3,0.6202,0.5958,0.5645,0.5645,0.5862
14+2,0.4983,0.5679,0.4530,0.5923,0.5279
15+1,0.5122,0.6620,0.4007,0.5052,0.5200
avg,0.6121,0.6209,0.5108,0.5744,0.5796
