method,hybrid,none,oversampling,undersampling
Old,0.0701,0.0846,0.0645,0.0855
New,0.1868,0.1878,0.1764,0.1770
Retrain,0.1329,0.1263,0.1176,0.1286
Finetune,0.1792,0.1910,0.1588,0.1859
