old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.3404,0.5824,0.3542,0.4493,0.4316
2yr,0.5810,0.4953,0.3155,0.3827,0.4436
3yr,0.5027,0.5084,0.3294,0.4361,0.4442
4yr,0.6021,0.5775,0.4228,0.4291,0.5079
5yr,0.6184,0.6097,0.3589,0.4482,0.5088
6yr,0.6062,0.5928,0.4627,0.4680,0.5324
7yr,0.5809,0.5883,0.4744,0.5386,0.5456
8yr,0.6433,0.6450,0.5388,0.5476,0.5937
9yr,0.6492,0.6222,0.5718,0.5942,0.6094
10yr,0.6628,0.6718,0.5708,0.6228,0.6320
11yr,0.6700,0.6777,0.5510,0.6011,0.6249
12yr,0.6783,0.6445,0.5756,0.6129,0.6278
13yr,0.6646,0.6611,0.5799,0.6209,0.6316
14yr,0.6632,0.6740,0.5685,0.6388,0.6361
15yr,0.6568,0.6792,0.5895,0.6300,0.6389
avg,0.6080,0.6153,0.4843,0.5347,0.5606
