new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.7720,0.7721,0.7363,0.7552,0.7589
14yr,0.7809,0.7753,0.7462,0.7590,0.7653
13yr,0.7851,0.7840,0.7442,0.7770,0.7726
12yr,0.7982,0.8015,0.7793,0.7871,0.7915
11yr,0.7950,0.7877,0.7693,0.7937,0.7864
10yr,0.7951,0.7876,0.7763,0.7983,0.7893
9yr,0.7904,0.7758,0.7726,0.7987,0.7843
8yr,0.7986,0.7885,0.7773,0.7974,0.7905
7yr,0.7891,0.7943,0.7611,0.7955,0.7850
6yr,0.7924,0.7855,0.7701,0.7995,0.7869
5yr,0.7750,0.7817,0.7818,0.7988,0.7843
4yr,0.7836,0.7767,0.7641,0.7882,0.7782
3yr,0.7895,0.7148,0.7642,0.7854,0.7635
2yr,0.6960,0.6911,0.7319,0.7738,0.7232
1yr,0.7310,0.7265,0.7323,0.7542,0.7360
avg,0.7781,0.7695,0.7605,0.7841,0.7731
