split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_5+11,New,none,0.794950,0.213703,0.652456,0.456446,0.139510,0.067361,0.543554
split_5+11,New,undersampling,0.787707,0.199560,0.660857,0.473868,0.126394,0.078366,0.526132
split_5+11,New,oversampling,0.769309,0.159624,0.614108,0.414634,0.098837,0.090454,0.585366
split_5+11,New,hybrid,0.793702,0.162533,0.686689,0.536585,0.095771,0.121217,0.463415
split_5+11,Finetune,none,0.782797,0.102019,0.696977,0.668990,0.055220,0.273864,0.331010
split_5+11,Finetune,undersampling,0.780393,0.123466,0.693525,0.595819,0.068868,0.192747,0.404181
split_5+11,Finetune,oversampling,0.763173,0.125910,0.656522,0.512195,0.071777,0.158483,0.487805
split_5+11,Finetune,hybrid,0.778700,0.121434,0.684403,0.578397,0.067838,0.190163,0.421603
split_6+10,Old,none,0.656735,0.076249,0.606209,0.515679,0.041168,0.287370,0.484321
split_6+10,Old,undersampling,0.649626,0.077229,0.592824,0.473868,0.042040,0.258358,0.526132
split_6+10,Old,oversampling,0.526669,0.048578,0.462698,0.285714,0.026546,0.250688,0.714286
split_6+10,Old,hybrid,0.568367,0.059969,0.467970,0.268293,0.033757,0.183743,0.731707
split_6+10,New,none,0.795058,0.211899,0.649903,0.452962,0.138298,0.067528,0.547038
split_6+10,New,undersampling,0.787596,0.189970,0.634599,0.435540,0.121477,0.075365,0.564460
split_6+10,New,oversampling,0.776273,0.159705,0.638147,0.452962,0.096943,0.100959,0.547038
split_6+10,New,hybrid,0.798317,0.184123,0.661652,0.480836,0.113861,0.089537,0.519164
split_6+10,Finetune,none,0.779996,0.129361,0.688701,0.574913,0.072880,0.174990,0.425087
split_6+10,Finetune,undersampling,0.781120,0.117885,0.694489,0.609756,0.065250,0.209004,0.390244
split_6+10,Finetune,oversampling,0.779920,0.137035,0.673360,0.533101,0.078623,0.149479,0.466899
split_6+10,Finetune,hybrid,0.785804,0.137306,0.683841,0.554007,0.078364,0.155898,0.445993
split_7+9,Old,none,0.650219,0.080257,0.580856,0.435540,0.044201,0.225344,0.564460
split_7+9,Old,undersampling,0.646325,0.077922,0.588293,0.459930,0.042567,0.247520,0.540070
split_7+9,Old,oversampling,0.556525,0.057940,0.474449,0.282230,0.032284,0.202418,0.717770
split_7+9,Old,hybrid,0.596048,0.067534,0.538631,0.379791,0.037062,0.236098,0.620209
split_7+9,New,none,0.790386,0.183108,0.669696,0.494774,0.112342,0.093539,0.505226
split_7+9,New,undersampling,0.775760,0.188711,0.603827,0.390244,0.124444,0.065694,0.609756
split_7+9,New,oversampling,0.772567,0.157547,0.639586,0.456446,0.095203,0.103793,0.543554
split_7+9,New,hybrid,0.798657,0.170525,0.683859,0.526132,0.101752,0.111130,0.473868
split_7+9,Finetune,none,0.784000,0.109631,0.688884,0.616725,0.060163,0.230513,0.383275
split_7+9,Finetune,undersampling,0.784795,0.128615,0.694423,0.588850,0.072191,0.181075,0.411150
split_7+9,Finetune,oversampling,0.773097,0.118600,0.674503,0.560976,0.066310,0.188995,0.439024
split_7+9,Finetune,hybrid,0.786178,0.113597,0.676271,0.574913,0.063025,0.204502,0.425087
split_8+8,Old,none,0.695739,0.089569,0.643272,0.560976,0.048670,0.262359,0.439024
split_8+8,Old,undersampling,0.696855,0.088338,0.645004,0.571429,0.047869,0.271947,0.428571
split_8+8,Old,oversampling,0.605465,0.068878,0.538810,0.376307,0.037908,0.228512,0.623693
split_8+8,Old,hybrid,0.624584,0.074658,0.547608,0.379791,0.041398,0.210421,0.620209
split_8+8,New,none,0.798643,0.228686,0.614391,0.397213,0.160563,0.049687,0.602787
split_8+8,New,undersampling,0.788461,0.226601,0.616619,0.400697,0.157967,0.051105,0.599303
split_8+8,New,oversampling,0.777319,0.191571,0.634913,0.435540,0.122790,0.074448,0.564460
split_8+8,New,hybrid,0.797390,0.215334,0.654971,0.459930,0.140575,0.067278,0.540070
split_8+8,Finetune,none,0.777706,0.099552,0.690080,0.658537,0.053846,0.276865,0.341463
split_8+8,Finetune,undersampling,0.773176,0.098772,0.688886,0.658537,0.053390,0.279366,0.341463
split_8+8,Finetune,oversampling,0.774843,0.127897,0.661202,0.519164,0.072932,0.157899,0.480836
split_8+8,Finetune,hybrid,0.787448,0.121890,0.689279,0.588850,0.067981,0.193164,0.411150
split_9+7,Old,none,0.709089,0.087451,0.649229,0.588850,0.047233,0.284202,0.411150
split_9+7,Old,undersampling,0.673823,0.081460,0.622233,0.536585,0.044076,0.278449,0.463415
split_9+7,Old,oversampling,0.626609,0.070796,0.571817,0.445993,0.038450,0.266861,0.554007
split_9+7,Old,hybrid,0.643622,0.073499,0.594210,0.494774,0.039698,0.286369,0.505226
split_9+7,New,none,0.789050,0.206285,0.644423,0.445993,0.134172,0.068862,0.554007
split_9+7,New,undersampling,0.794291,0.248477,0.585321,0.355401,0.191011,0.036015,0.644599
split_9+7,New,oversampling,0.761141,0.148061,0.625976,0.439024,0.089046,0.107461,0.560976
split_9+7,New,hybrid,0.795487,0.241611,0.600543,0.376307,0.177924,0.041601,0.623693
split_9+7,Finetune,none,0.777696,0.111529,0.692248,0.620209,0.061274,0.227345,0.379791
split_9+7,Finetune,undersampling,0.776301,0.099365,0.679824,0.627178,0.053957,0.263110,0.372822
split_9+7,Finetune,oversampling,0.780663,0.115143,0.677651,0.574913,0.063978,0.201251,0.425087
split_9+7,Finetune,hybrid,0.795679,0.120833,0.695706,0.606272,0.067104,0.201667,0.393728
split_10+6,Old,none,0.741523,0.098409,0.662768,0.581882,0.053750,0.245102,0.418118
split_10+6,Old,undersampling,0.740488,0.096170,0.671805,0.616725,0.052151,0.268195,0.383275
split_10+6,Old,oversampling,0.653954,0.085013,0.570793,0.404181,0.047502,0.193914,0.595819
split_10+6,Old,hybrid,0.689027,0.084962,0.622765,0.522648,0.046239,0.257941,0.477352
split_10+6,New,none,0.792355,0.249007,0.563306,0.327526,0.200855,0.031180,0.672474
split_10+6,New,undersampling,0.785517,0.212095,0.629157,0.421603,0.141686,0.061109,0.578397
split_10+6,New,oversampling,0.770084,0.212935,0.594837,0.372822,0.149025,0.050938,0.627178
split_10+6,New,hybrid,0.799507,0.240404,0.628050,0.414634,0.169275,0.048687,0.585366
split_10+6,Finetune,none,0.772314,0.107475,0.689003,0.623693,0.058804,0.238850,0.376307
split_10+6,Finetune,undersampling,0.776108,0.105027,0.695616,0.651568,0.057117,0.257357,0.348432
split_10+6,Finetune,oversampling,0.783156,0.121398,0.671922,0.550523,0.068221,0.179908,0.449477
split_10+6,Finetune,hybrid,0.797561,0.124737,0.704758,0.620209,0.069342,0.199166,0.379791
split_11+5,Old,none,0.744958,0.094205,0.669968,0.620209,0.050974,0.276282,0.379791
split_11+5,Old,undersampling,0.746378,0.092611,0.677697,0.655052,0.049828,0.298875,0.344948
split_11+5,Old,oversampling,0.673973,0.095416,0.550980,0.355401,0.055105,0.145811,0.644599
split_11+5,Old,hybrid,0.696793,0.095061,0.601077,0.445993,0.053200,0.189912,0.554007
split_11+5,New,none,0.775046,0.227176,0.596481,0.372822,0.163359,0.045686,0.627178
split_11+5,New,undersampling,0.781703,0.242009,0.595370,0.369338,0.179966,0.040267,0.630662
split_11+5,New,oversampling,0.781796,0.238040,0.584409,0.355401,0.178947,0.039016,0.644599
split_11+5,New,hybrid,0.798816,0.244473,0.562967,0.327526,0.195021,0.032347,0.672474
split_11+5,Finetune,none,0.791188,0.136364,0.702845,0.595819,0.076992,0.170905,0.404181
split_11+5,Finetune,undersampling,0.778654,0.100414,0.696645,0.675958,0.054235,0.282034,0.324042
split_11+5,Finetune,oversampling,0.797186,0.123397,0.703620,0.620209,0.068514,0.201751,0.379791
split_11+5,Finetune,hybrid,0.796831,0.117757,0.713048,0.658537,0.064660,0.227928,0.341463
split_12+4,Old,none,0.746172,0.099916,0.678251,0.620209,0.054335,0.258274,0.379791
split_12+4,Old,undersampling,0.751282,0.126754,0.644465,0.487805,0.072841,0.148562,0.512195
split_12+4,Old,oversampling,0.669812,0.088269,0.575585,0.407666,0.049492,0.187328,0.592334
split_12+4,Old,hybrid,0.709431,0.096961,0.612943,0.466899,0.054098,0.195331,0.533101
split_12+4,New,none,0.783557,0.226738,0.593843,0.369338,0.163580,0.045185,0.630662
split_12+4,New,undersampling,0.776730,0.203738,0.598707,0.379791,0.139208,0.056190,0.620209
split_12+4,New,oversampling,0.764144,0.218367,0.595490,0.372822,0.154401,0.048854,0.627178
split_12+4,New,hybrid,0.788182,0.223022,0.637813,0.432056,0.150303,0.058441,0.567944
