old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0412,0.0643,0.0526,0.0533,0.0528
2yr,0.0702,0.0459,0.0342,0.0480,0.0496
3yr,0.0521,0.0531,0.0371,0.0500,0.0481
4yr,0.0692,0.0650,0.0393,0.0501,0.0559
5yr,0.0714,0.0814,0.0476,0.0624,0.0657
6yr,0.0762,0.0772,0.0486,0.0600,0.0655
7yr,0.0803,0.0779,0.0579,0.0675,0.0709
8yr,0.0896,0.0883,0.0689,0.0747,0.0804
9yr,0.0875,0.0815,0.0708,0.0735,0.0783
10yr,0.0984,0.0962,0.0850,0.0850,0.0911
11yr,0.0942,0.0926,0.0954,0.0951,0.0943
12yr,0.0999,0.1268,0.0883,0.0970,0.1030
13yr,0.1123,0.1039,0.0987,0.0985,0.1033
14yr,0.1123,0.1292,0.1302,0.1266,0.1246
15yr,0.1363,0.1107,0.1153,0.1366,0.1247
avg,0.0861,0.0863,0.0713,0.0785,0.0806
