method,hybrid,none,oversampling,undersampling
Old,0.6246,0.6776,0.5932,0.6765
New,0.7841,0.7781,0.7605,0.7695
Retrain,0.7554,0.7647,0.7251,0.7806
Finetune,0.7833,0.7762,0.7711,0.7780
