method,hybrid,none,oversampling,undersampling
Old,0.3664,0.5251,0.2947,0.5450
New,0.4286,0.4380,0.3932,0.4355
Retrain,0.4584,0.5620,0.3987,0.5530
Finetune,0.4455,0.4176,0.3833,0.4246
