method,boundary_source,drift_start_year,old_window,new_window,fs_variant,n_features_before,n_features_after,selected_preview,w_old,w_new,threshold,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.700000,0.300000,0.420000,0.797617,0.182200,0.644066,0.452962,0.114035,0.084202,0.547038
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.650000,0.350000,0.410000,0.804102,0.190476,0.650271,0.459930,0.120109,0.080617,0.540070
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.600000,0.400000,0.390000,0.809807,0.191474,0.661270,0.477352,0.119755,0.083952,0.522648
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.550000,0.450000,0.350000,0.814620,0.185592,0.690418,0.529617,0.112509,0.099958,0.470383
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.500000,0.500000,0.350000,0.818772,0.194353,0.684766,0.515679,0.119741,0.090704,0.484321
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.450000,0.550000,0.380000,0.822312,0.212733,0.665559,0.477352,0.136863,0.072030,0.522648
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.400000,0.600000,0.360000,0.825324,0.210526,0.675888,0.494774,0.133710,0.076699,0.505226
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.350000,0.650000,0.360000,0.827820,0.213313,0.674294,0.491289,0.136232,0.074531,0.508711
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.300000,0.700000,0.350000,0.829791,0.214180,0.682929,0.505226,0.135895,0.076865,0.494774
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.250000,0.750000,0.410000,0.831361,0.229358,0.641032,0.435540,0.155666,0.056524,0.564460
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.200000,0.800000,0.340000,0.832584,0.209131,0.675614,0.494774,0.132586,0.077449,0.505226
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.150000,0.850000,0.370000,0.833410,0.220243,0.664672,0.473868,0.143460,0.067695,0.526132
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.100000,0.900000,0.280000,0.833792,0.195214,0.698907,0.540070,0.119139,0.095540,0.459930
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.050000,0.950000,0.360000,0.833406,0.208696,0.653829,0.459930,0.134969,0.070529,0.540070
Fixed_2012,manual fixed boundary,2012,1999-2011,2012-2014,fs,19,9,"X1,X4,X6,X9,X11,X12,X13,X16",0.000000,1.000000,0.290000,0.831124,0.199735,0.692116,0.526132,0.123265,0.089537,0.473868
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,1.000000,0.000000,0.350000,0.683501,0.092576,0.547068,0.351916,0.053298,0.149562,0.648084
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.950000,0.050000,0.270000,0.711617,0.088185,0.594546,0.445993,0.048930,0.207420,0.554007
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.900000,0.100000,0.330000,0.732216,0.098420,0.567624,0.379791,0.056535,0.151647,0.620209
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.850000,0.150000,0.300000,0.749367,0.100536,0.594619,0.425087,0.057009,0.168237,0.574913
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.800000,0.200000,0.320000,0.764163,0.107834,0.589615,0.407666,0.062135,0.147228,0.592334
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.750000,0.250000,0.340000,0.777158,0.120608,0.591964,0.400697,0.070988,0.125469,0.599303
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.700000,0.300000,0.350000,0.789010,0.127954,0.586217,0.386760,0.076657,0.111463,0.613240
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.650000,0.350000,0.300000,0.799419,0.134821,0.657893,0.505226,0.077790,0.143310,0.494774
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.600000,0.400000,0.340000,0.808744,0.156431,0.647493,0.470383,0.093815,0.108712,0.529617
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.550000,0.450000,0.370000,0.816852,0.170391,0.623565,0.425087,0.106550,0.085286,0.574913
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.500000,0.500000,0.370000,0.823873,0.185980,0.644916,0.452962,0.117012,0.081784,0.547038
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.450000,0.550000,0.370000,0.829844,0.202752,0.670081,0.487805,0.127971,0.079533,0.512195
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.400000,0.600000,0.290000,0.834940,0.174003,0.716475,0.585366,0.102190,0.123051,0.414634
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.350000,0.650000,0.300000,0.839392,0.183324,0.716181,0.578397,0.108924,0.113214,0.421603
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.300000,0.700000,0.310000,0.843215,0.191202,0.713107,0.567944,0.114951,0.104627,0.432056
ROSS_2008,ROSS selected boundary,2008,1999-2007,2008-2014,no_fs,19,19,,0.250000,0.750000,0.240000,0.846641,0.169719,0.751514,0.662021,0.097336,0.146895,0.337979
