fs_variant,method,baseline,metric,n_pairs,method_mean,baseline_mean,mean_diff,n_method_better,n_baseline_better,p_greater,p_two_sided
no_fs,DAWCE_F1,New_under,Recall,15,0.53170732,0.52799071,0.00371661,7,8,0.38076782,0.76153564
no_fs,DAWCE_F1,New_under,Precision,15,0.11554087,0.14197239,-0.02643152,2,13,0.99923706,0.00201416
no_fs,Equal6,New_under,AUC,15,0.80947700,0.84734305,-0.03786605,0,15,1.00000000,0.00006104
no_fs,Equal6,New_under,F1,15,0.16248332,0.22172578,-0.05924246,1,14,0.99996948,0.00012207
no_fs,Equal6,New_under,Recall,15,0.51823461,0.52799071,-0.00975610,6,9,0.68540417,0.62919165
no_fs,Equal6,New_under,Precision,15,0.09755887,0.14197239,-0.04441352,1,14,0.99996948,0.00012207
no_fs,New3_mean,New_under,AUC,15,0.83560285,0.84734305,-0.01174020,2,13,0.99984741,0.00042725
no_fs,New3_mean,New_under,F1,15,0.18497954,0.22172578,-0.03674624,2,13,0.99978638,0.00061035
no_fs,New3_mean,New_under,Recall,15,0.54541231,0.52799071,0.01742160,8,7,0.19470215,0.38940430
no_fs,New3_mean,New_under,Precision,15,0.11243552,0.14197239,-0.02953687,1,14,0.99978638,0.00061035
no_fs,ValBestSingle_AUC,New_under,AUC,15,0.84232663,0.84734305,-0.00501642,0,3,0.94559528,0.10880943
no_fs,ValBestSingle_AUC,New_under,F1,15,0.20550202,0.22172578,-0.01622376,0,3,0.94559528,0.10880943
no_fs,ValBestSingle_AUC,New_under,Recall,15,0.54285714,0.52799071,0.01486643,2,1,0.29649005,0.59298010
no_fs,ValBestSingle_AUC,New_under,Precision,15,0.12809853,0.14197239,-0.01387386,0,3,0.94559528,0.10880943
no_fs,ValBestSingle_F1,New_under,AUC,15,0.84193680,0.84734305,-0.00540625,0,4,0.96605542,0.06788915
no_fs,ValBestSingle_F1,New_under,F1,15,0.20626062,0.22172578,-0.01546516,0,4,0.96605542,0.06788915
no_fs,ValBestSingle_F1,New_under,Recall,15,0.54076655,0.52799071,0.01277584,3,1,0.13666084,0.27332168
no_fs,ValBestSingle_F1,New_under,Precision,15,0.12860693,0.14197239,-0.01336546,0,4,0.96605542,0.06788915
