split,drift_start_year,old_window,new_window,fs_variant,n_features_before,n_features_after,selected_preview,w_old,w_new,threshold,val_AUC,test_AUC,val_F1,test_F1,val_G_Mean,test_G_Mean,val_Recall,test_Recall,val_Precision,test_Precision,val_Type1_Error,test_Type1_Error,val_Type2_Error,test_Type2_Error
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.95000000,0.05000000,0.23000000,0.58766513,0.62136750,0.16186141,0.06015038,0.49929618,0.49893534,0.31714569,0.32055749,0.10865874,0.03318903,0.21393643,0.22342643,0.68285431,0.67944251
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.90000000,0.10000000,0.10000000,0.60277793,0.64590124,0.16779026,0.06371746,0.56925118,0.59498680,0.55500496,0.60975610,0.09883516,0.03361506,0.41613692,0.41942476,0.44499504,0.39024390
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.85000000,0.15000000,0.12000000,0.61473269,0.66509507,0.17369174,0.06961283,0.57657595,0.61630315,0.54112983,0.62020906,0.10344828,0.03687591,0.38565607,0.38757816,0.45887017,0.37979094
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.80000000,0.20000000,0.13000000,0.62486763,0.68120660,0.18106471,0.07410343,0.58944092,0.63495099,0.56293360,0.65156794,0.10788224,0.03928571,0.38280359,0.38124218,0.43706640,0.34843206
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.75000000,0.25000000,0.23000000,0.63378829,0.69559500,0.18717340,0.08167082,0.54877544,0.59184294,0.39048563,0.45644599,0.12308654,0.04484765,0.22876936,0.23259692,0.60951437,0.54355401
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.70000000,0.30000000,0.23000000,0.64189951,0.70846999,0.19632184,0.08698297,0.56805604,0.61606815,0.42319128,0.49825784,0.12780605,0.04765078,0.23748981,0.23826594,0.57680872,0.50174216
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.65000000,0.35000000,0.23000000,0.64933528,0.72021763,0.20680454,0.09195402,0.58933067,0.64021451,0.46085233,0.54355401,0.13331422,0.05022537,0.24637327,0.24593581,0.53914767,0.45644599
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.60000000,0.40000000,0.25000000,0.65614652,0.73096688,0.21314554,0.09529901,0.58939145,0.63458077,0.44995045,0.51916376,0.13964934,0.05246479,0.22795436,0.22434348,0.55004955,0.48083624
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.55000000,0.45000000,0.29000000,0.66230301,0.74074505,0.22000000,0.10546139,0.57296108,0.63023648,0.40336967,0.48780488,0.15124489,0.05912162,0.18614507,0.18574406,0.59663033,0.51219512
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.50000000,0.50000000,0.31000000,0.66788892,0.74948273,0.22569642,0.11133685,0.57073104,0.62951382,0.39345887,0.47735192,0.15823037,0.06301748,0.17212714,0.16982076,0.60654113,0.52264808
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.45000000,0.55000000,0.34000000,0.67279444,0.75731264,0.23239875,0.11829945,0.56089090,0.61722156,0.36967294,0.44599303,0.16946842,0.06819393,0.14898126,0.14581075,0.63032706,0.55400697
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.40000000,0.60000000,0.39000000,0.67703480,0.76422057,0.24044527,0.13154831,0.53429020,0.59200145,0.32111001,0.39372822,0.19217082,0.07896576,0.11100244,0.10987912,0.67888999,0.60627178
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.35000000,0.65000000,0.40000000,0.68069623,0.77026490,0.24557522,0.13577332,0.54146140,0.59794413,0.33002973,0.40069686,0.19553729,0.08173419,0.11165444,0.10771155,0.66997027,0.59930314
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.30000000,0.70000000,0.45000000,0.68382104,0.77543692,0.24837169,0.15124816,0.51006193,0.57428496,0.28344896,0.35888502,0.22102009,0.09581395,0.08215159,0.08103376,0.71655104,0.64111498
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.25000000,0.75000000,0.48000000,0.68649603,0.77992195,0.25350795,0.15768302,0.49980162,0.56306181,0.26858276,0.34146341,0.24003543,0.10251046,0.06992665,0.07152980,0.73141724,0.65853659
split_1+15,2000,1999-1999,2000-2014,fs,19,9,"X1,X4,X6,X10,X11,X12,X13,X16",0.20000000,0.80000000,0.49000000,0.68869312,0.78376007,0.25577101,0.16375199,0.50481690,0.57698774,0.27452924,0.35888502,0.23941227,0.10607621,0.07171964,0.07236348,0.72547076,0.64111498
