split,drift_start_year,old_window,new_window,fs_variant,method,selected_component,w_new,threshold,val_AUC,test_AUC,val_F1,test_F1,val_G_Mean,test_G_Mean,val_Recall,test_Recall,val_Precision,test_Precision,val_Type1_Error,test_Type1_Error,val_Type2_Error,test_Type2_Error
split_2+14,2001,1999-2000,2001-2014,no_fs,DAWCE_F1,Old3/New3 w_new=1.00,1.00000000,0.35000000,0.70032462,0.82120715,0.25733496,0.16462841,0.59333563,0.72468476,0.41396264,0.60975610,0.18669623,0.09516041,0.14956777,0.13872447,0.58603736,0.39024390
split_2+14,2001,1999-2000,2001-2014,no_fs,DAWCE_AUC,Old3/New3 w_new=1.00,1.00000000,0.35000000,0.70032462,0.82120715,0.25733496,0.16462841,0.59333563,0.72468476,0.41396264,0.60975610,0.18669623,0.09516041,0.14956777,0.13872447,0.58603736,0.39024390
split_2+14,2001,1999-2000,2001-2014,fs,New_under,New_under,1.00000000,0.20000000,0.70220451,0.81779139,0.26470588,0.18587361,0.53222396,0.63376866,0.30973451,0.43554007,0.23110785,0.11814745,0.08546730,0.07778241,0.69026549,0.56445993
split_2+14,2001,1999-2000,2001-2014,fs,New3_mean,New_under+New_over+New_hybrid,1.00000000,0.50000000,0.69969397,0.79143981,0.26344505,0.16775885,0.54729062,0.63614802,0.33235005,0.44599303,0.21820529,0.10330912,0.09876040,0.09262193,0.66764995,0.55400697
split_2+14,2001,1999-2000,2001-2014,fs,Equal6,Old3/New3 equal weight,0.50000000,0.30000000,0.67290469,0.74246819,0.23465140,0.11064157,0.59793977,0.64100622,0.44346116,0.50174216,0.15953307,0.06217617,0.19376937,0.18107545,0.55653884,0.49825784
split_2+14,2001,1999-2000,2001-2014,fs,ValBestSingle_F1,New_under,,0.20000000,0.70220451,0.81779139,0.26470588,0.18587361,0.53222396,0.63376866,0.30973451,0.43554007,0.23110785,0.11814745,0.08546730,0.07778241,0.69026549,0.56445993
split_2+14,2001,1999-2000,2001-2014,fs,ValBestSingle_AUC,New_under,,0.20000000,0.70220451,0.81779139,0.26470588,0.18587361,0.53222396,0.63376866,0.30973451,0.43554007,0.23110785,0.11814745,0.08546730,0.07778241,0.69026549,0.56445993
split_2+14,2001,1999-2000,2001-2014,fs,DAWCE_F1,Old3/New3 w_new=1.00,1.00000000,0.50000000,0.69969397,0.79143981,0.26344505,0.16775885,0.54729062,0.63614802,0.33235005,0.44599303,0.21820529,0.10330912,0.09876040,0.09262193,0.66764995,0.55400697
split_2+14,2001,1999-2000,2001-2014,fs,DAWCE_AUC,Old3/New3 w_new=1.00,1.00000000,0.50000000,0.69969397,0.79143981,0.26344505,0.16775885,0.54729062,0.63614802,0.33235005,0.44599303,0.21820529,0.10330912,0.09876040,0.09262193,0.66764995,0.55400697
split_3+13,2002,1999-2001,2002-2014,no_fs,New_under,New_under,1.00000000,0.12000000,0.71917939,0.83481154,0.27467811,0.16897375,0.61315107,0.72997714,0.44051131,0.61672474,0.19955457,0.09789823,0.14655032,0.13597332,0.55948869,0.38327526
