,AUC_mean,AUC_std,F1_mean,F1_std,G_Mean_mean,G_Mean_std,Recall_mean,Recall_std,Precision_mean,Precision_std
DES_KNORAE,0.8559588562597945,0.0,0.22237860661505982,0.0,0.7111456543225257,0.0,0.5505226480836237,0.0,0.13932980599647266,0.0
ensemble_all_6,0.8568150976573184,0.0005903717874983946,0.21107267918314235,0.006242060055047175,0.7151403094458315,0.011239320841435188,0.5621370499419279,0.017537362218979724,0.12993024201605605,0.0038127936640519338
ensemble_new_3,0.8693485816535054,0.0006738745986404403,0.23563403608227773,0.0032658644179829593,0.6958826854428043,0.0032267768073783636,0.5203252032520326,0.005322387566731554,0.1523145976110203,0.0027866722574504703
ensemble_old_3,0.807687291307499,0.0014776926728157836,0.13208296659752036,0.001362730029359312,0.6968521501798178,0.0036386843896919767,0.5888501742160278,0.006035020235431659,0.07438388978819864,0.0007687964979212075
finetune,0.8551697159918065,0.0004932546939778903,0.19716437942928444,0.0033097280031745453,0.7241194735209291,0.009021242041063983,0.5853658536585366,0.01518780119700584,0.11854894844980078,0.0017930655403516778
retrain,0.8061887962415621,0.00488409356752677,0.1333857874164414,0.0005214535101366671,0.7105126620687502,0.001611459750937086,0.6178861788617885,0.004023346823621076,0.0747630881872579,0.00035615724732668226
