method,n_predictions,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version,imbalance_method,window_years
B_model_FIFO3_equal,33636,0.853582176636,0.114161622612,0.201039861352,0.446439059627,0.200692041522,0.201388888889,0.596897434682,0.194127819919,0.00689717215941,0.799307958478,0.363321799308,0.0793051359517,0.0365550124449,1324,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,1
B_model_FIFO3_equal,33636,0.857592124253,0.121487045644,0.191653786708,0.461116688942,0.214532871972,0.173184357542,0.60282825564,0.183894017546,0.00887636069212,0.785467128028,0.401384083045,0.0762656147272,0.0421327255825,1521,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,3
B_model_FIFO3_equal,33636,0.857141063513,0.110621093659,0.167209554832,0.511860962635,0.266435986159,0.121835443038,0.624896404931,0.157272258673,0.0166431762977,0.733564013841,0.415224913495,0.0749063670412,0.0444417788707,1602,42,study3b_overlap_event_target_v1_financial18_exploratory,tomek,5
