window_years,method,PR_AUC,AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,delta_PR_AUC_vs_window1,delta_AUC_vs_window1,delta_F1_vs_window1,delta_G_Mean_vs_window1,delta_Recall_vs_window1,delta_Precision_vs_window1,delta_Balanced_Accuracy_vs_window1,delta_Recall_at_5pctFPR_vs_window1,delta_Precision_at_5pctFPR_vs_window1,delta_Realized_FPR_at_5pctFPR_vs_window1
1,B_model_FIFO3_equal,0.114161622612,0.853582176636,0.201039861352,0.446439059627,0.200692041522,0.201388888889,0.596897434682,0.363321799308,0.0793051359517,0.0365550124449,0,0,0,0,0,0,0,0,0,0
3,B_model_FIFO3_equal,0.121487045644,0.857592124253,0.191653786708,0.461116688942,0.214532871972,0.173184357542,0.60282825564,0.401384083045,0.0762656147272,0.0421327255825,0.007325423032,0.004009947617,-0.009386074644,0.014677629315,0.01384083045,-0.028204531347,0.005930820958,0.038062283737,-0.0030395212245,0.0055777131376
5,B_model_FIFO3_equal,0.110621093659,0.857141063513,0.167209554832,0.511860962635,0.266435986159,0.121835443038,0.624896404931,0.415224913495,0.0749063670412,0.0444417788707,-0.003540528953,0.003558886877,-0.03383030652,0.065421903008,0.065743944637,-0.079553445851,0.027998970249,0.051903114187,-0.0043987689105,0.0078867664258
