fs,AUC_no_fs,AUC_fs,AUC_diff,AUC_diff_std,n_positive,n_negative,n_total
shap_r50,0.8213,0.8157,-0.0056,0.0111,7,8,15
shap_r80,0.8213,0.8216,0.0003,0.0076,8,7,15
