round,method,model_id,old_years,new_year,validation_feature_year,test_feature_year,test_event_year,active_models,pool_size_actual,n_test,n_test_positive,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,threshold,TP,FP,FN,TN,alerts,prevalence,seed,protocol_version
1,SlidingNewestModel,M2001,"1999,2000",2001,2002,2003,2004,M2001,1,4417,29,0.676005092258,0.0234550378907,0,0,0,0,0.498518687329,-0.00408096990691,0.00296262534184,1,0.01,0,13,29,4375,13,0.00656554222323,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
1,SlidingFIFO3,FIFO[M2001],"1999,2000",2001,2002,2003,2004,M2001,1,4417,29,0.676005092258,0.0234550378907,0,0,0,0,0.498518687329,-0.00408096990691,0.00296262534184,1,0.01,0,13,29,4375,13,0.00656554222323,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2,SlidingNewestModel,M2002,"2000,2001",2002,2003,2004,2005,M2002,1,4348,46,0.669673357185,0.0296151055239,0.03125,0.147150348254,0.0217391304348,0.0555555555556,0.50889374002,0.0254504439367,0.00395165039517,0.978260869565,0.01,1,17,45,4285,18,0.0105795768169,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
2,SlidingFIFO3,"FIFO[M2001,M2002]","2000,2001",2002,2003,2004,2005,"M2001,M2002",2,4348,46,0.654185111071,0.0266464940429,0.0350877192982,0.147270492024,0.0217391304348,0.0909090909091,0.509707315101,0.0311314945062,0.00232450023245,0.978260869565,0.01,1,10,45,4292,11,0.0105795768169,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
3,SlidingNewestModel,M2003,"2001,2002",2003,2004,2005,2006,M2003,1,4205,40,0.691416566627,0.0298706385124,0,0,0,0,0.49855942377,-0.0044097381718,0.00288115246098,1,0.02,0,12,40,4153,12,0.00951248513674,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
3,SlidingFIFO3,"FIFO[M2001,M2002,M2003]","2001,2002",2003,2004,2005,2006,"M2001,M2002,M2003",3,4205,40,0.665270108043,0.024028380787,0,0,0,0,0.49855942377,-0.0044097381718,0.00288115246098,1,0.01,0,12,40,4153,12,0.00951248513674,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
4,SlidingNewestModel,M2004,"2002,2003",2004,2005,2006,2007,M2004,1,4128,51,0.653719815127,0.0337928083595,0.0506329113924,0.197397057991,0.0392156862745,0.0714285714286,0.516419224055,0.0422451555424,0.00637723816532,0.960784313725,0.02,2,26,49,4051,28,0.0123546511628,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
4,SlidingFIFO3,"FIFO[M2002,M2003,M2004]","2002,2003",2004,2005,2006,2007,"M2002,M2003,M2004",3,4128,51,0.679743371472,0.0427344115748,0.114942528736,0.311919479598,0.0980392156863,0.138888888889,0.545217792783,0.105799743434,0.00760363012019,0.901960784314,0.01,5,31,46,4046,36,0.0123546511628,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
5,SlidingNewestModel,M2005,"2003,2004",2005,2006,2007,2008,M2005,1,4009,59,0.683170993349,0.0580024760762,0.122641509434,0.461009219113,0.220338983051,0.0849673202614,0.592447972538,0.103599910561,0.0354430379747,0.779661016949,0.01,13,140,46,3810,153,0.0147168870042,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
5,SlidingFIFO3,"FIFO[M2003,M2004,M2005]","2003,2004",2005,2006,2007,2008,"M2003,M2004,M2005",3,4009,59,0.730504183652,0.0684524726493,0.116279069767,0.406290380133,0.169491525424,0.0884955752212,0.571707788028,0.0988533215816,0.0260759493671,0.830508474576,0.01,10,103,49,3847,113,0.0147168870042,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
6,SlidingNewestModel,M2006,"2004,2005",2006,2007,2008,2009,M2006,1,3857,58,0.829483257845,0.120319548113,0.214592274678,0.643440350785,0.431034482759,0.142857142857,0.695775204001,0.196440952161,0.0394840747565,0.568965517241,0.04,25,150,33,3649,175,0.015037593985,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
6,SlidingFIFO3,"FIFO[M2004,M2005,M2006]","2004,2005",2006,2007,2008,2009,"M2004,M2005,M2006",3,3857,58,0.849597443973,0.115967084783,0.164524421594,0.712952124969,0.551724137931,0.0966767371601,0.736509607792,0.142582270446,0.078704922348,0.448275862069,0.01,32,299,26,3500,331,0.015037593985,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
