round,method,model_id,old_years,new_year,validation_feature_year,test_feature_year,test_event_year,active_models,pool_size_actual,n_test,n_test_positive,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,threshold,TP,FP,FN,TN,alerts,prevalence,seed,protocol_version
7,SlidingNewestModel,M2007,"2005,2006",2007,2008,2009,2010,M2007,1,3743,23,0.84585086489,0.0413449027322,0.093023255814,0.294169618377,0.0869565217391,0.1,0.541058906031,0.0878090846034,0.00483870967742,0.913043478261,0.19,2,18,21,3702,20,0.00614480363345,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
7,SlidingFIFO3,"FIFO[M2005,M2006,M2007]","2005,2006",2007,2008,2009,2010,"M2005,M2006,M2007",3,3743,23,0.833730715288,0.0346049010916,0.106666666667,0.414329584036,0.173913043478,0.0769230769231,0.580504908836,0.098989340107,0.0129032258065,0.826086956522,0.07,4,48,19,3672,52,0.00614480363345,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
8,SlidingNewestModel,M2008,"2006,2007",2008,2009,2010,2011,M2008,1,3625,35,0.81009948269,0.0734351786708,0.0952380952381,0.238879197485,0.0571428571429,0.285714285714,0.527875049741,0.0923168160253,0.00139275766017,0.942857142857,0.24,2,5,33,3585,7,0.00965517241379,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
8,SlidingFIFO3,"FIFO[M2006,M2007,M2008]","2006,2007",2008,2009,2010,2011,"M2006,M2007,M2008",3,3625,35,0.832900915241,0.123482188589,0.139534883721,0.292566072001,0.0857142857143,0.375,0.542160764027,0.136432411551,0.00139275766017,0.914285714286,0.2,3,5,32,3585,8,0.00965517241379,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
9,SlidingNewestModel,M2009,"2007,2008",2009,2010,2011,2012,M2009,1,3513,25,0.904564220183,0.116118389574,0.0714285714286,0.281664449985,0.08,0.0645161290323,0.535842889908,0.0640543503879,0.00831422018349,0.92,0.05,2,29,23,3459,31,0.00711642470823,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
9,SlidingFIFO3,"FIFO[M2007,M2008,M2009]","2007,2008",2009,2010,2011,2012,"M2007,M2008,M2009",3,3513,25,0.897993119266,0.110763059385,0.179104477612,0.487363248286,0.24,0.142857142857,0.614839449541,0.171714443716,0.0103211009174,0.76,0.06,6,36,19,3452,42,0.00711642470823,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
10,SlidingNewestModel,M2010,"2008,2009",2010,2011,2012,2013,M2010,1,3485,26,0.883470100296,0.222933507685,0.235294117647,0.392005415272,0.153846153846,0.5,0.576344875131,0.232599894981,0.00115640358485,0.846153846154,0.18,4,4,22,3455,8,0.00746054519369,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
10,SlidingFIFO3,"FIFO[M2008,M2009,M2010]","2008,2009",2010,2011,2012,2013,"M2008,M2009,M2010",3,3485,26,0.892587897792,0.231257288255,0.280701754386,0.552852930614,0.307692307692,0.258064516129,0.65052149354,0.274816908843,0.00664932061289,0.692307692308,0.08,8,23,18,3436,31,0.00746054519369,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
11,SlidingNewestModel,M2011,"2009,2010",2011,2012,2013,2014,M2011,1,3484,28,0.782469411376,0.0831860311885,0.078431372549,0.266448013036,0.0714285714286,0.0869565217391,0.53267609127,0.0717023061747,0.00607638888889,0.928571428571,0.05,2,21,26,3435,23,0.00803673938002,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
11,SlidingFIFO3,"FIFO[M2009,M2010,M2011]","2009,2010",2011,2012,2013,2014,"M2009,M2010,M2011",3,3484,28,0.855944113757,0.0857760485863,0.111111111111,0.267029143526,0.0714285714286,0.25,0.534846230159,0.107924721547,0.00173611111111,0.928571428571,0.12,2,6,26,3450,8,0.00803673938002,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
12,SlidingNewestModel,M2012,"2010,2011",2012,2013,2014,2015,M2012,1,3504,33,0.845202238461,0.0792212364597,0.131147540984,0.346949575608,0.121212121212,0.142857142857,0.557148843666,0.123570053234,0.00691443388073,0.878787878788,0.08,4,24,29,3447,28,0.00941780821918,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
12,SlidingFIFO3,"FIFO[M2010,M2011,M2012]","2010,2011",2012,2013,2014,2015,"M2010,M2011,M2012",3,3504,33,0.866329675318,0.0635358445208,0.14,0.456568140458,0.212121212121,0.10447761194,0.59741756371,0.129008202834,0.0172860847018,0.787878787879,0.02,7,60,26,3411,67,0.00941780821918,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
13,SlidingNewestModel,M2013,"2011,2012",2013,2014,2015,2016,M2013,1,3354,33,0.894728677927,0.152552626603,0.276923076923,0.520421431112,0.272727272727,0.28125,0.632900823958,0.269849651224,0.0069256248118,0.727272727273,0.07,9,23,24,3298,32,0.00983899821109,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
13,SlidingFIFO3,"FIFO[M2011,M2012,M2013]","2011,2012",2013,2014,2015,2016,"M2011,M2012,M2013",3,3354,33,0.89629812123,0.168293389952,0.214285714286,0.596908811007,0.363636363636,0.151898734177,0.671730858723,0.20322648569,0.0201746461909,0.636363636364,0.02,12,67,21,3254,79,0.00983899821109,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
14,SlidingNewestModel,M2014,"2012,2013",2014,2015,2016,2017,M2014,1,3191,29,0.84677964623,0.132425981888,0.227272727273,0.414570289505,0.172413793103,0.333333333333,0.584625618879,0.222454742213,0.00316255534472,0.827586206897,0.2,5,10,24,3152,15,0.00908806016923,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
14,SlidingFIFO3,"FIFO[M2012,M2013,M2014]","2012,2013",2014,2015,2016,2017,"M2012,M2013,M2014",3,3191,29,0.852417719034,0.279638203132,0.321428571429,0.555498117673,0.310344827586,0.333333333333,0.652326113983,0.315429345678,0.00569259962049,0.689655172414,0.09,9,18,20,3144,27,0.00908806016923,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
15,SlidingNewestModel,M2015,"2013,2014",2015,2016,2017,2018,M2015,1,3014,21,0.864588802444,0.111146973881,0.0689655172414,0.217962557891,0.047619047619,0.125,0.522640128554,0.0653726886413,0.00233879051119,0.952380952381,0.14,1,7,20,2986,8,0.00696748506967,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
15,SlidingFIFO3,"FIFO[M2013,M2014,M2015]","2013,2014",2015,2016,2017,2018,"M2013,M2014,M2015",3,3014,21,0.890760981974,0.134009198327,0.2,0.435340765498,0.190476190476,0.210526315789,0.592732248262,0.194669427698,0.00501169395256,0.809523809524,0.14,4,15,17,2978,19,0.00696748506967,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
16,SlidingNewestModel,M2016,"2014,2015",2016,2017,2018,2019,M2016,1,2723,36,0.855109994624,0.206305609369,0.310344827586,0.49878900614,0.25,0.409090909091,0.622580945292,0.303357850975,0.00483810941571,0.75,0.07,9,13,27,2674,22,0.0132207124495,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
16,SlidingFIFO3,"FIFO[M2014,M2015,M2016]","2014,2015",2016,2017,2018,2019,"M2014,M2015,M2016",3,2723,36,0.859229624116,0.186490612885,0.229508196721,0.439479096801,0.194444444444,0.28,0.593872761858,0.221067174671,0.00669892072944,0.805555555556,0.09,7,18,29,2669,25,0.0132207124495,42,study3b_sliding_old2_new1_fifo3_aging_v1_exploratory
