model,metric,split,value,method,sampling,plot_role
RF,F1,split_11+5,0.290185,New,undersampling,point
TabM,F1,split_11+5,0.099585,Old,oversampling,point
TabM,F1,split_11+5,0.230981,New,hybrid,point
XGB,F1,split_11+5,0.180165,Old,undersampling,point
XGB,F1,split_11+5,0.286420,New,undersampling,point
RF,F1,split_12+4,0.171502,Old,undersampling,point
RF,F1,split_12+4,0.291667,New,undersampling,point
TabM,F1,split_12+4,0.116576,Old,hybrid,point
TabM,F1,split_12+4,0.225088,New,hybrid,point
XGB,F1,split_12+4,0.183007,Old,none,point
XGB,F1,split_12+4,0.299320,New,undersampling,point
RF,F1,split_13+3,0.170877,Old,none,point
RF,F1,split_13+3,0.257345,New,undersampling,point
TabM,F1,split_13+3,0.125527,Old,undersampling,point
TabM,F1,split_13+3,0.206151,New,oversampling,point
XGB,F1,split_13+3,0.187551,Old,undersampling,point
XGB,F1,split_13+3,0.275789,New,undersampling,point
RF,F1,split_14+2,0.187726,Old,undersampling,point
RF,F1,split_14+2,0.283560,New,undersampling,point
TabM,F1,split_14+2,0.140351,Old,hybrid,point
TabM,F1,split_14+2,0.227621,New,none,point
XGB,F1,split_14+2,0.194903,Old,none,point
XGB,F1,split_14+2,0.277162,New,none,point
RF,F1,split_15+1,0.209009,Old,none,point
RF,F1,split_15+1,0.253829,New,undersampling,point
TabM,F1,split_15+1,0.158564,Old,oversampling,point
TabM,F1,split_15+1,0.197802,New,undersampling,point
XGB,F1,split_15+1,0.212359,Old,none,point
XGB,F1,split_15+1,0.263930,New,undersampling,point
RF,F1,split_2+14,0.071359,Old,oversampling,point
RF,F1,split_2+14,0.219645,New,undersampling,point
TabM,F1,split_2+14,0.066977,Old,undersampling,point
TabM,F1,split_2+14,0.139121,New,hybrid,point
XGB,F1,split_2+14,0.073252,Old,hybrid,point
XGB,F1,split_2+14,0.275174,New,none,point
RF,F1,split_3+13,0.074862,Old,hybrid,point
RF,F1,split_3+13,0.252669,New,undersampling,point
TabM,F1,split_3+13,0.071602,Old,none,point
TabM,F1,split_3+13,0.177381,New,hybrid,point
XGB,F1,split_3+13,0.069956,Old,none,point
XGB,F1,split_3+13,0.270775,New,none,point
RF,F1,split_4+12,0.091873,Old,none,point
RF,F1,split_4+12,0.246998,New,none,point
TabM,F1,split_4+12,0.074832,Old,undersampling,point
TabM,F1,split_4+12,0.152462,New,hybrid,point
XGB,F1,split_4+12,0.087404,Old,undersampling,point
XGB,F1,split_4+12,0.280667,New,undersampling,point
RF,F1,split_5+11,0.096844,Old,undersampling,point
RF,F1,split_5+11,0.250657,New,none,point
TabM,F1,split_5+11,0.065627,Old,hybrid,point
TabM,F1,split_5+11,0.218333,New,undersampling,point
XGB,F1,split_5+11,0.088293,Old,hybrid,point
XGB,F1,split_5+11,0.308036,New,none,point
RF,F1,split_6+10,0.096855,Old,none,point
RF,F1,split_6+10,0.242131,New,undersampling,point
TabM,F1,split_6+10,0.079826,Old,none,point
TabM,F1,split_6+10,0.234733,New,undersampling,point
XGB,F1,split_6+10,0.085031,Old,undersampling,point
XGB,F1,split_6+10,0.279492,New,undersampling,point
RF,F1,split_7+9,0.095238,Old,none,point
RF,F1,split_7+9,0.267442,New,none,point
TabM,F1,split_7+9,0.072940,Old,undersampling,point
TabM,F1,split_7+9,0.216912,New,hybrid,point
XGB,F1,split_7+9,0.096371,Old,none,point
