,none,undersampling,oversampling,hybrid,avg
2yr,0.0106,0.0056,0.0434,0.0458,0.0263
4yr,0.0000,0.0000,0.0493,0.0471,0.0241
6yr,0.0000,0.0264,0.0532,0.0514,0.0327
8yr,0.0000,0.0067,0.0736,0.0591,0.0348
10yr,0.0000,0.0068,0.0575,0.0527,0.0292
12yr,0.0386,0.0000,0.0712,0.0595,0.0423
14yr,0.0199,0.0135,0.0621,0.0661,0.0404
avg,0.0099,0.0084,0.0586,0.0545,0.0329
