,none,undersampling,oversampling,hybrid,avg
2yr,0.4878,0.5362,0.5194,0.6135,0.5392
4yr,0.6658,0.5651,0.5774,0.6397,0.6120
6yr,0.6626,0.6343,0.5897,0.5971,0.6209
8yr,0.6456,0.6680,0.7071,0.7061,0.6817
10yr,0.7130,0.6977,0.7207,0.7487,0.7200
12yr,0.6455,0.7076,0.7434,0.7503,0.7117
14yr,0.7487,0.6975,0.7516,0.7466,0.7361
avg,0.6527,0.6438,0.6585,0.6860,0.6602
