,none,undersampling,oversampling,hybrid,avg
2+14,0.9930,0.9965,0.1010,0.1254,0.5540
4+12,0.9930,1.0000,0.1080,0.0662,0.5418
6+10,0.9895,0.9721,0.1150,0.0348,0.5279
8+8,0.9791,0.9756,0.1045,0.0592,0.5296
10+6,0.9895,0.9965,0.1115,0.0279,0.5314
12+4,0.9895,0.9965,0.0836,0.0314,0.5253
14+2,0.9791,0.9930,0.1324,0.0767,0.5453
avg,0.9876,0.9900,0.1080,0.0602,0.5365
