split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_10+6,New,none,0.691851,0.046205,0.156115,0.024390,0.437500,0.000750,0.975610
split_10+6,New,undersampling,0.667935,0.050794,0.166818,0.027875,0.285714,0.001667,0.972125
split_10+6,New,oversampling,0.756321,0.072108,0.637596,0.871080,0.037611,0.533306,0.128920
split_10+6,New,hybrid,0.791316,0.070601,0.621269,0.933798,0.036687,0.586661,0.066202
split_12+4,Old,none,0.645537,0.038567,0.155724,0.024390,0.092105,0.005752,0.975610
split_12+4,Old,undersampling,0.707591,0.000000,0.000000,0.000000,0.000000,0.000167,1.000000
split_12+4,Old,oversampling,0.743410,0.071190,0.633776,0.853659,0.037144,0.529471,0.146341
split_12+4,Old,hybrid,0.750281,0.059537,0.522583,0.940767,0.030741,0.709712,0.059233
split_12+4,Old+New,none,0.727836,0.020067,0.102201,0.010453,0.250000,0.000750,0.989547
split_12+4,Old+New,undersampling,0.712598,0.006711,0.059004,0.003484,0.090909,0.000834,0.996516
split_12+4,Old+New,oversampling,0.759056,0.063047,0.566585,0.916376,0.032646,0.649687,0.083624
split_12+4,Old+New,hybrid,0.767012,0.054007,0.427677,0.968641,0.027778,0.811171,0.031359
split_12+4,New,none,0.595522,0.030581,0.131798,0.017422,0.125000,0.002918,0.982578
split_12+4,New,undersampling,0.706697,0.032258,0.131892,0.017422,0.217391,0.001501,0.982578
split_12+4,New,oversampling,0.794585,0.083751,0.686232,0.815331,0.044143,0.422426,0.184669
split_12+4,New,hybrid,0.765651,0.069150,0.622274,0.853659,0.036035,0.546394,0.146341
split_14+2,Old,none,0.748709,0.019868,0.102189,0.010453,0.200000,0.001000,0.989547
split_14+2,Old,undersampling,0.697536,0.013514,0.083454,0.006969,0.222222,0.000584,0.993031
split_14+2,Old,oversampling,0.751573,0.062145,0.552772,0.933798,0.032142,0.672780,0.066202
split_14+2,Old,hybrid,0.746599,0.066069,0.602059,0.860627,0.034353,0.578825,0.139373
split_14+2,Old+New,none,0.739247,0.039735,0.144535,0.020906,0.400000,0.000750,0.979094
split_14+2,Old+New,undersampling,0.713588,0.013699,0.083468,0.006969,0.400000,0.000250,0.993031
split_14+2,Old+New,oversampling,0.770096,0.074842,0.651983,0.867596,0.039108,0.510046,0.132404
split_14+2,Old+New,hybrid,0.763501,0.065199,0.583169,0.923345,0.033792,0.631680,0.076655
split_14+2,New,none,0.658035,0.025478,0.117943,0.013937,0.148148,0.001917,0.986063
split_14+2,New,undersampling,0.539140,0.012232,0.083346,0.006969,0.050000,0.003168,0.993031
split_14+2,New,oversampling,0.711057,0.073176,0.626661,0.620209,0.038882,0.366820,0.379791
split_14+2,New,hybrid,0.734819,0.082935,0.660663,0.665505,0.044223,0.344143,0.334495
