,none,undersampling,oversampling,hybrid,avg
2yr,0.0217,0.0137,0.0223,0.0235,0.0203
4yr,0.0000,0.0000,0.0254,0.0242,0.0124
6yr,0.0000,0.2500,0.0275,0.0265,0.0760
8yr,0.0000,0.0769,0.0386,0.0306,0.0365
10yr,0.0000,0.1111,0.0297,0.0271,0.0420
12yr,0.0921,0.0000,0.0371,0.0307,0.0400
14yr,0.2000,0.2222,0.0321,0.0344,0.1222
avg,0.0448,0.0963,0.0304,0.0281,0.0499
