,none,undersampling,oversampling,hybrid,avg
14yr,0.0139,0.0000,0.7387,0.9129,0.4164
12yr,0.0070,0.0174,0.8955,0.9547,0.4686
10yr,0.0209,0.0348,0.8920,0.9512,0.4747
8yr,0.0836,0.0488,0.9233,0.8606,0.4791
6yr,0.0244,0.0279,0.8711,0.9338,0.4643
4yr,0.0174,0.0174,0.8153,0.8537,0.4260
2yr,0.0139,0.0070,0.6202,0.6655,0.3267
avg,0.0259,0.0219,0.8223,0.8761,0.4365
