,none,undersampling,oversampling,hybrid,avg
2+14,0.1818,0.1250,0.0365,0.0379,0.0953
4+12,0.1250,0.0000,0.0308,0.0320,0.0469
6+10,0.2500,0.1778,0.0326,0.0306,0.1228
8+8,0.1667,0.1707,0.0360,0.0315,0.1012
10+6,0.2727,0.1250,0.0339,0.0314,0.1158
12+4,0.2500,0.0909,0.0326,0.0278,0.1003
14+2,0.4000,0.4000,0.0391,0.0338,0.2182
avg,0.2352,0.1556,0.0345,0.0321,0.1144
