,none,undersampling,oversampling,hybrid,avg
14yr,0.7477,0.7484,0.7634,0.7708,0.7576
12yr,0.7197,0.7215,0.7754,0.8076,0.7561
10yr,0.7360,0.7713,0.7474,0.7977,0.7631
8yr,0.7697,0.7434,0.7772,0.7929,0.7708
6yr,0.6919,0.6679,0.7563,0.7913,0.7269
4yr,0.5955,0.7067,0.7946,0.7657,0.7156
2yr,0.6580,0.5391,0.7111,0.7348,0.6608
avg,0.7026,0.6998,0.7608,0.7801,0.7358
