,none,undersampling,oversampling,hybrid,avg
2+14,0.0070,0.0035,0.8990,0.8746,0.4460
4+12,0.0070,0.0000,0.8920,0.9338,0.4582
6+10,0.0105,0.0279,0.8850,0.9652,0.4721
8+8,0.0209,0.0244,0.8955,0.9408,0.4704
10+6,0.0105,0.0035,0.8885,0.9721,0.4686
12+4,0.0105,0.0035,0.9164,0.9686,0.4747
14+2,0.0209,0.0070,0.8676,0.9233,0.4547
avg,0.0124,0.0100,0.8920,0.9398,0.4635
