,none,undersampling,oversampling,hybrid,avg
2+14,0.0008,0.0006,0.5682,0.5316,0.2753
4+12,0.0012,0.0003,0.6726,0.6759,0.3375
6+10,0.0008,0.0031,0.6275,0.7309,0.3406
8+8,0.0025,0.0028,0.5729,0.6918,0.3175
10+6,0.0007,0.0006,0.6056,0.7173,0.3310
12+4,0.0008,0.0008,0.6497,0.8112,0.3656
14+2,0.0008,0.0003,0.5100,0.6317,0.2857
avg,0.0010,0.0012,0.6009,0.6843,0.3219
