,none,undersampling,oversampling,hybrid,avg
2yr,0.0070,0.0035,0.7805,0.9338,0.4312
4yr,0.0000,0.0000,0.8084,0.9129,0.4303
6yr,0.0000,0.0139,0.7596,0.7979,0.3929
8yr,0.0000,0.0035,0.7666,0.8606,0.4077
10yr,0.0000,0.0035,0.9199,0.9895,0.4782
12yr,0.0244,0.0000,0.8537,0.9408,0.4547
14yr,0.0105,0.0070,0.9338,0.8606,0.4530
avg,0.0060,0.0045,0.8318,0.8995,0.4354
