,none,undersampling,oversampling,hybrid,avg
14yr,0.9861,1.0000,0.2613,0.0871,0.5836
12yr,0.9930,0.9826,0.1045,0.0453,0.5314
10yr,0.9791,0.9652,0.1080,0.0488,0.5253
8yr,0.9164,0.9512,0.0767,0.1394,0.5209
6yr,0.9756,0.9721,0.1289,0.0662,0.5357
4yr,0.9826,0.9826,0.1847,0.1463,0.5740
2yr,0.9861,0.9930,0.3798,0.3345,0.6733
avg,0.9741,0.9781,0.1777,0.1239,0.5635
