,none,undersampling,oversampling,hybrid,avg
2yr,0.0832,0.0589,0.3769,0.2574,0.1941
4yr,0.0000,0.0000,0.4573,0.3299,0.1968
6yr,0.0000,0.1180,0.5216,0.4890,0.2821
8yr,0.0000,0.0590,0.6456,0.5471,0.3129
10yr,0.0000,0.0590,0.5078,0.3834,0.2376
12yr,0.1557,0.0000,0.6338,0.5226,0.3280
14yr,0.1022,0.0835,0.5528,0.6021,0.3351
avg,0.0487,0.0540,0.5280,0.4473,0.2695
