,none,undersampling,oversampling,hybrid,avg
2+14,0.7458,0.7474,0.7694,0.7751,0.7594
4+12,0.7348,0.7596,0.7566,0.7746,0.7564
6+10,0.7601,0.7756,0.7580,0.7921,0.7714
8+8,0.7835,0.7593,0.7629,0.7587,0.7661
10+6,0.7410,0.7433,0.7614,0.7943,0.7600
12+4,0.7278,0.7126,0.7591,0.7670,0.7416
14+2,0.7392,0.7136,0.7701,0.7635,0.7466
avg,0.7475,0.7445,0.7625,0.7750,0.7574
