,none,undersampling,oversampling,hybrid,avg
2yr,0.9930,0.9965,0.2195,0.0662,0.5688
4yr,1.0000,1.0000,0.1916,0.0871,0.5697
6yr,1.0000,0.9861,0.2404,0.2021,0.6071
8yr,1.0000,0.9965,0.2334,0.1394,0.5923
10yr,1.0000,0.9965,0.0801,0.0105,0.5218
12yr,0.9756,1.0000,0.1463,0.0592,0.5453
14yr,0.9895,0.9930,0.0662,0.1394,0.5470
avg,0.9940,0.9955,0.1682,0.1005,0.5646
