,none,undersampling,oversampling,hybrid,avg
14yr,0.0018,0.0002,0.3868,0.6824,0.2678
12yr,0.0015,0.0013,0.5636,0.6397,0.3015
10yr,0.0002,0.0018,0.6436,0.6649,0.3276
8yr,0.0041,0.0028,0.5795,0.5065,0.2732
6yr,0.0008,0.0017,0.5333,0.5867,0.2806
4yr,0.0029,0.0015,0.4224,0.5464,0.2433
2yr,0.0019,0.0032,0.3668,0.3441,0.1790
avg,0.0019,0.0018,0.4994,0.5672,0.2676
