,none,undersampling,oversampling,hybrid,avg
2+14,0.0134,0.0068,0.0701,0.0726,0.0407
4+12,0.0132,0.0000,0.0595,0.0619,0.0336
6+10,0.0201,0.0482,0.0630,0.0594,0.0476
8+8,0.0372,0.0427,0.0693,0.0610,0.0525
10+6,0.0201,0.0068,0.0653,0.0609,0.0383
12+4,0.0201,0.0067,0.0630,0.0540,0.0360
14+2,0.0397,0.0137,0.0748,0.0652,0.0484
avg,0.0234,0.0178,0.0664,0.0621,0.0424
