,none,undersampling,oversampling,hybrid,avg
2+14,0.0834,0.0590,0.6230,0.6401,0.3514
4+12,0.0834,0.0000,0.5404,0.5501,0.2935
6+10,0.1022,0.1667,0.5742,0.5096,0.3382
8+8,0.1444,0.1560,0.6184,0.5385,0.3643
10+6,0.1022,0.0590,0.5920,0.5242,0.3194
12+4,0.1022,0.0590,0.5666,0.4277,0.2889
14+2,0.1445,0.0835,0.6520,0.5832,0.3658
avg,0.1089,0.0833,0.5952,0.5391,0.3316
