,none,undersampling,oversampling,hybrid,avg
2yr,0.0075,0.0060,0.8180,0.9291,0.4401
4yr,0.0004,0.0017,0.7413,0.8808,0.4060
6yr,0.0020,0.0010,0.6418,0.7004,0.3363
8yr,0.0010,0.0010,0.4563,0.6522,0.2776
10yr,0.0006,0.0007,0.7196,0.8514,0.3931
12yr,0.0058,0.0002,0.5295,0.7097,0.3113
14yr,0.0010,0.0006,0.6728,0.5788,0.3133
avg,0.0026,0.0016,0.6542,0.7575,0.3540
