,none,undersampling,oversampling,hybrid,avg
14yr,0.1180,0.0000,0.6730,0.5385,0.3324
12yr,0.0834,0.1319,0.6251,0.5865,0.3567
10yr,0.1446,0.1865,0.5638,0.5646,0.3649
8yr,0.2886,0.2206,0.6231,0.6517,0.4460
6yr,0.1561,0.1668,0.6376,0.6213,0.3954
4yr,0.1318,0.1319,0.6862,0.6223,0.3930
2yr,0.1179,0.0833,0.6267,0.6607,0.3722
avg,0.1486,0.1316,0.6337,0.6065,0.3801
