,none,undersampling,oversampling,hybrid,avg
14yr,0.1600,0.0000,0.0437,0.0310,0.0587
12yr,0.1000,0.2381,0.0366,0.0345,0.1023
10yr,0.7500,0.3226,0.0321,0.0331,0.2844
8yr,0.3288,0.2979,0.0367,0.0391,0.1756
6yr,0.4375,0.2857,0.0376,0.0367,0.1994
4yr,0.1250,0.2174,0.0441,0.0360,0.1056
2yr,0.1481,0.0500,0.0389,0.0442,0.0703
avg,0.2928,0.2017,0.0385,0.0364,0.1423
