,none,undersampling,oversampling,hybrid,avg
14yr,0.0256,0.0000,0.0825,0.0600,0.0420
12yr,0.0130,0.0325,0.0704,0.0666,0.0456
10yr,0.0407,0.0629,0.0620,0.0640,0.0574
8yr,0.1333,0.0838,0.0706,0.0747,0.0906
6yr,0.0462,0.0508,0.0721,0.0706,0.0599
4yr,0.0306,0.0323,0.0838,0.0692,0.0539
2yr,0.0255,0.0122,0.0732,0.0829,0.0485
avg,0.0450,0.0392,0.0735,0.0697,0.0569
