new_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0986,0.1001,0.1183,0.0687,0.0964
2yr,0.0922,0.0345,0.0886,0.0865,0.0754
3yr,0.0897,0.1050,0.0558,0.0758,0.0816
avg,0.0935,0.0798,0.0875,0.0770,0.0845
