retrain_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5758,0.5729,0.6058,0.6102,0.5912
2yr,,,,,
3yr,,,,,
avg,0.5758,0.5729,0.6058,0.6102,0.5912
