old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0454,0.0479,0.0518,0.0383,0.0459
2yr,0.0548,0.0658,0.0759,0.0822,0.0697
3yr,0.0701,0.0640,0.0711,0.0759,0.0703
avg,0.0568,0.0592,0.0663,0.0655,0.0619
