method,hybrid,none,oversampling,undersampling
Old,0.0993,0.0939,0.0825,0.0986
New,0.2158,0.2454,0.1887,0.2423
Retrain,0.1693,0.1838,0.1308,0.1891
Finetune,0.1715,0.1785,0.1515,0.1768
