old+new_years_retrain_full,none,undersampling,oversampling,hybrid,avg
2+14,0.0664,0.0623,0.1039,0.1051,0.0844
4+12,0.0593,0.0782,0.1235,0.1260,0.0967
6+10,0.0845,0.0716,0.1163,0.0761,0.0871
8+8,0.0900,0.0948,0.1490,0.1079,0.1104
10+6,0.0671,0.0674,0.0992,0.0774,0.0778
12+4,0.0902,0.0802,0.1368,0.1209,0.1070
14+2,0.0868,0.0860,0.1446,0.1105,0.1070
avg,0.0777,0.0772,0.1247,0.1034,0.0958
