old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.1216,0.1213,0.1438,0.1331,0.1299
2+14,0.1151,0.1516,0.0982,0.1470,0.1280
3+13,0.0933,0.0960,0.1535,0.1597,0.1256
4+12,0.0777,0.0992,0.1675,0.1046,0.1123
5+11,0.0845,0.1175,0.1315,0.0895,0.1057
6+10,0.0849,0.0886,0.1171,0.0996,0.0976
7+9,0.0595,0.0902,0.1376,0.1202,0.1019
8+8,0.0865,0.0675,0.1622,0.0978,0.1035
9+7,0.0858,0.1211,0.1117,0.1158,0.1086
10+6,0.0805,0.0976,0.0967,0.1377,0.1031
11+5,0.1168,0.0956,0.1555,0.1283,0.1241
12+4,0.0759,0.0558,0.0989,0.1241,0.0887
13+3,0.0574,0.0919,0.0790,0.0937,0.0805
14+2,0.0973,0.1019,0.1346,0.1085,0.1105
avg,0.0883,0.0997,0.1277,0.1185,0.1086
