old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.1408,0.0986,0.0282,0.0000,0.0669
4+12,0.0423,0.0141,0.0000,0.0141,0.0176
6+10,0.0000,0.0000,0.0000,0.0000,0.0000
8+8,0.0000,0.0000,0.0000,0.0000,0.0000
10+6,0.0000,0.0000,0.0000,0.0000,0.0000
12+4,0.0000,0.0000,0.0000,0.0000,0.0000
14+2,0.0141,0.0000,0.0000,0.0563,0.0176
avg,0.0282,0.0161,0.0040,0.0101,0.0146
