new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.8227,0.8249,0.7802,0.8204,0.8120
14yr,0.8061,0.8135,0.7828,0.8205,0.8057
13yr,0.8369,0.8163,0.7846,0.8186,0.8141
12yr,0.8309,0.8440,0.7934,0.8308,0.8248
11yr,0.8362,0.8212,0.7920,0.8340,0.8209
10yr,0.8462,0.8557,0.8038,0.8355,0.8353
9yr,0.8504,0.8483,0.7918,0.8402,0.8327
8yr,0.8566,0.8438,0.8053,0.8326,0.8346
7yr,0.8631,0.8366,0.8092,0.8364,0.8363
6yr,0.8414,0.8493,0.8094,0.8376,0.8344
5yr,0.8627,0.8473,0.8195,0.8286,0.8395
4yr,0.8451,0.8496,0.8081,0.8384,0.8353
3yr,0.8554,0.8563,0.8081,0.8402,0.8400
2yr,0.8591,0.8450,0.8181,0.8353,0.8394
1yr,0.8447,0.8431,0.7988,0.8240,0.8277
avg,0.8438,0.8397,0.8003,0.8315,0.8288
