old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0516,0.0572,0.0539,0.0568,0.0549
2yr,0.0505,0.0639,0.0542,0.0714,0.0600
3yr,0.0486,0.0521,0.0554,0.0628,0.0547
4yr,0.0631,0.0574,0.0552,0.0671,0.0607
5yr,0.0696,0.0765,0.0727,0.0747,0.0734
6yr,0.0740,0.0718,0.0649,0.0750,0.0715
7yr,0.0843,0.0931,0.0778,0.0867,0.0855
8yr,0.0852,0.0820,0.0723,0.0991,0.0847
9yr,0.0970,0.0928,0.0895,0.1067,0.0965
10yr,0.1183,0.1270,0.1054,0.1314,0.1205
11yr,0.1286,0.1385,0.1046,0.1298,0.1254
12yr,0.1368,0.1504,0.1129,0.1341,0.1335
13yr,0.1549,0.1511,0.1265,0.1369,0.1423
14yr,0.1524,0.1660,0.1089,0.1571,0.1461
avg,0.0939,0.0986,0.0825,0.0993,0.0935
