split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_5+11,New,none,0.836165,0.224900,0.674195,0.487805,0.146138,0.068195,0.512195
split_5+11,New,undersampling,0.821197,0.230476,0.631694,0.421603,0.158585,0.053522,0.578397
split_5+11,New,oversampling,0.792022,0.174614,0.642246,0.452962,0.108153,0.089371,0.547038
split_5+11,New,hybrid,0.834018,0.215337,0.670369,0.484321,0.138446,0.072113,0.515679
split_5+11,Finetune,none,0.734434,0.146828,0.573216,0.358885,0.092294,0.084452,0.641115
split_5+11,Finetune,undersampling,0.786121,0.162514,0.679157,0.522648,0.096216,0.117466,0.477352
split_5+11,Finetune,oversampling,0.770235,0.139721,0.650901,0.487805,0.081538,0.131471,0.512195
split_5+11,Finetune,hybrid,0.796184,0.178165,0.649585,0.463415,0.110282,0.089454,0.536585
split_6+10,Old,none,0.604202,0.074028,0.429169,0.205575,0.045142,0.104043,0.794425
split_6+10,Old,undersampling,0.593489,0.071841,0.418738,0.195122,0.044025,0.101376,0.804878
split_6+10,Old,oversampling,0.603406,0.064897,0.517985,0.344948,0.035818,0.222176,0.655052
split_6+10,Old,hybrid,0.636922,0.075042,0.508431,0.310105,0.042686,0.166403,0.689895
split_6+10,New,none,0.846239,0.256307,0.649017,0.442509,0.180398,0.048103,0.557491
split_6+10,New,undersampling,0.855665,0.243062,0.647480,0.442509,0.167546,0.052605,0.557491
split_6+10,New,oversampling,0.803808,0.181050,0.685193,0.522648,0.109489,0.101709,0.477352
split_6+10,New,hybrid,0.835468,0.202899,0.712536,0.560976,0.123846,0.094956,0.439024
split_6+10,Finetune,none,0.802663,0.197514,0.675257,0.498258,0.123170,0.084869,0.501742
split_6+10,Finetune,undersampling,0.759221,0.167006,0.624973,0.428571,0.103710,0.088620,0.571429
split_6+10,Finetune,oversampling,0.779871,0.146769,0.642036,0.466899,0.087070,0.117132,0.533101
split_6+10,Finetune,hybrid,0.818201,0.182710,0.683697,0.519164,0.110863,0.099625,0.480836
split_7+9,Old,none,0.611323,0.084270,0.480033,0.261324,0.050234,0.118216,0.738676
split_7+9,Old,undersampling,0.611416,0.093087,0.463775,0.236934,0.057922,0.092205,0.763066
split_7+9,Old,oversampling,0.631436,0.077802,0.551009,0.379791,0.043340,0.200584,0.620209
split_7+9,Old,hybrid,0.658024,0.086717,0.561156,0.383275,0.048889,0.178408,0.616725
split_7+9,New,none,0.850398,0.235294,0.684523,0.501742,0.153682,0.066111,0.498258
split_7+9,New,undersampling,0.848279,0.238095,0.665178,0.470383,0.159386,0.059358,0.529617
split_7+9,New,oversampling,0.791811,0.202703,0.625327,0.418118,0.133779,0.064777,0.581882
split_7+9,New,hybrid,0.840192,0.227655,0.693815,0.519164,0.145793,0.072780,0.480836
split_7+9,Finetune,none,0.788650,0.191509,0.589367,0.369338,0.129268,0.059525,0.630662
split_7+9,Finetune,undersampling,0.795634,0.173449,0.641952,0.452962,0.107261,0.090204,0.547038
split_7+9,Finetune,oversampling,0.786700,0.150763,0.689020,0.550523,0.087341,0.137641,0.449477
split_7+9,Finetune,hybrid,0.824878,0.166490,0.693740,0.547038,0.098186,0.120217,0.452962
