old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.2088,0.2622,0.3340,0.3042,0.2773
2yr,0.3267,0.1176,0.1765,0.2419,0.2157
3yr,0.1367,0.0633,0.3623,0.2409,0.2008
4yr,0.1246,0.1172,0.2257,0.1777,0.1613
5yr,0.1056,0.1500,0.1993,0.2124,0.1668
6yr,0.1040,0.1014,0.2222,0.1664,0.1485
7yr,0.1182,0.0922,0.2006,0.1784,0.1474
8yr,0.1335,0.1125,0.1917,0.1376,0.1438
9yr,0.1446,0.1201,0.1701,0.1551,0.1474
10yr,0.1206,0.1297,0.1588,0.1030,0.1280
11yr,0.1326,0.0993,0.1376,0.1370,0.1266
12yr,0.0908,0.0889,0.1446,0.1489,0.1183
13yr,0.0684,0.0985,0.1169,0.1462,0.1075
14yr,0.1115,0.0894,0.2048,0.1296,0.1338
15yr,0.0853,0.0834,0.1841,0.1288,0.1204
avg,0.1341,0.1150,0.2019,0.1739,0.1562
