old+new_years,none,undersampling,oversampling,hybrid,avg
1+7,0.4077,0.2659,0.1971,0.4058,0.3191
2+6,0.3913,0.2941,0.2747,0.2831,0.3108
3+5,0.2452,0.2225,0.2190,0.1655,0.2130
4+4,0.2344,0.2300,0.2618,0.3067,0.2582
5+3,0.2034,0.2884,0.2382,0.2653,0.2488
6+2,0.2386,0.2855,0.2241,0.2903,0.2596
7+1,0.2717,0.3542,0.1685,0.1678,0.2405
avg,0.2846,0.2772,0.2262,0.2692,0.2643
