new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1277,0.1238,0.0755,0.0940,0.1053
14yr,0.1281,0.1303,0.0948,0.1045,0.1144
13yr,0.1243,0.1272,0.1009,0.1120,0.1161
12yr,0.1118,0.1567,0.1061,0.1168,0.1229
11yr,0.1461,0.1586,0.1082,0.1384,0.1378
10yr,0.1804,0.1675,0.1095,0.1238,0.1453
9yr,0.1537,0.1594,0.1338,0.1458,0.1482
8yr,0.1808,0.1705,0.1213,0.1584,0.1578
7yr,0.2720,0.1636,0.1325,0.1456,0.1784
6yr,0.2229,0.2102,0.1105,0.1580,0.1754
5yr,0.1979,0.1750,0.1585,0.1767,0.1770
4yr,0.1877,0.2196,0.1741,0.1748,0.1891
3yr,0.1988,0.2108,0.1685,0.1476,0.1814
2yr,0.2441,0.2397,0.1562,0.1650,0.2013
avg,0.1769,0.1723,0.1250,0.1401,0.1536
