new_years,none,undersampling,oversampling,hybrid,avg
7yr,0.3089,0.2427,0.3111,0.3100,0.2932
6yr,0.2936,0.2571,0.3056,0.3155,0.2929
5yr,0.3563,0.2741,0.2857,0.2619,0.2945
4yr,0.2329,0.3158,0.1994,0.1577,0.2265
3yr,0.2258,0.2940,0.2239,0.1981,0.2355
2yr,0.3223,0.2864,0.2094,0.2415,0.2649
1yr,0.2372,0.1889,0.1679,0.1916,0.1964
avg,0.2824,0.2656,0.2433,0.2395,0.2577
